"","nicu","name","full_address","addr","city","state","zip","level","beds","type","contact"
"374",374,"Franciscan Health Dyer","24 Joliet St Dyer IN 46311","24 Joliet St","Dyer","IN","46311","II",NA,"Private Practice","Brett Galley, MD"
"375",375,"Franciscan Health Hammond","5454 Hohman Avenue Hammond IN 46320","5454 Hohman Avenue","Hammond","IN","46320","II",NA,"Private Practice","Brett Galley, MD"
"376",376,"Franciscan Health Lafayette East","1701 S Creasy Lane Lafayette IN 47905","1701 S Creasy Lane","Lafayette","IN","47905","III",14,"Private Practice","Rosaria Chua, MD"
"377",377,"Franciscan Health Mooresville","1201 Hadley Rd Mooresville IN 46158","1201 Hadley Rd","Mooresville","IN","46158","II",NA,"Network Medical Group",NA
"378",378,"Franciscan Health Olympia Fields","20201 Crawford Ave, Olympia Fields IL 60461","20201 Crawford Ave,","Olympia Fields","IL","60461","II",NA,"Network Medical Group",NA
"379",379,"Franciscan St. Francis Health","8111 S. Emerson Ave. Indianapolis IN 46237","8111 S. Emerson Ave.","Indianapolis","IN","46237","III",24,"Academic Program","Paul D. Winchester, MD"
"380",380,"Frankfort Regional Medical Director","299 Kings Daughters Dr Frankfort KY 40601","299 Kings Daughters Dr","Frankfort","KY","40601","II",4,"Academic Program",NA
"381",381,"Franklin Square Hospital Center","9000 Franklin Square Dr, Baltimore MD 21237","9000 Franklin Square Dr,","Baltimore","MD","21237","III",23,"Employed Group","Fernando V. Mena, MD"
"382",382,"Frederick Memorial Hospital","400 W 7th St, Frederick MD 21701","400 W 7th St,","Frederick","MD","21701","III",30,"Academic Program",NA
"383",383,"Freeman Hospital West","1102 W. 32nd St Joplin MO 64804","1102 W. 32nd St","Joplin","MO","64804","III",24,"Employed Group",NA
"384",384,"French Hospital Medical Center","1911 Johnson Ave San Luis Obispo CA 93401","1911 Johnson Ave","San Luis Obispo","CA","93401","II",8,NA,NA
"385",385,"Froedtert Hospital","9200 W. Wisconsin Ave. Milwaukee WI 53226","9200 W. Wisconsin Ave.","Milwaukee","WI","53226","II",NA,"Academic Program",NA
"386",386,"Froedtert Pleasant Prairie Hospital","9555 76th St, Pleasant Prairie WI 53158","9555 76th St,","Pleasant Prairie","WI","53158","II",NA,"Employed Group",NA
"387",387,"Froedtert West Bend Hospital","3200 Pleasant Valley Rd West Bend WI 53095","3200 Pleasant Valley Rd","West Bend","WI","53095","II",NA,"Academic Program",NA
"388",388,"Frye Regional Medical Center","420 N Center St Hickory NC 28601","420 N Center St","Hickory","NC","28601","II",6,"Private Practice","Samuel Wellman, MD"
"389",389,"Garden Grove Hospital And Medical Center","12601 Garden Grove Blvd Garden Grove CA 92843","12601 Garden Grove Blvd","Garden Grove","CA","92843","II",NA,NA,NA
"390",390,"Garfield Medical Center","525 N Garfield Ave Monterey Park CA 91754","525 N Garfield Ave","Monterey Park","CA","91754","II",20,NA,NA
"391",391,"Geary Community Hospital – Junction City","1102 St Marys Rd Junction City KS 66441","1102 St Marys Rd","Junction City","KS","66441","II",NA,NA,NA
"392",392,"Geinsinger Holy Spirit Hospital","503 N. 21st St. Camp Hill PA 17011","503 N. 21st St.","Camp Hill","PA","17011","III",5,"Network Medical Group","Carrie Delone, MD"
"393",393,"Geisinger Medical Center","100 N. Academy Ave Danville PA 17822","100 N. Academy Ave","Danville","PA","17822","IV",41,"Network Medical Group",NA
"394",394,"Geisinger Wyoming Valley Medical Center","1000 E Mountain Blvd Wilkes-Barre PA 18711","1000 E Mountain Blvd","Wilkes-Barre","PA","18711","II",13,"Network Medical Group",NA
"395",395,"Genesis Medical Center – Davenport","1227 East Rusholme Street Davenport IA 52803","1227 East Rusholme Street","Davenport","IA","52803","II",20,NA,"Ram Niwas,. MD"
"396",396,"Genesis Medical Center – Silvis","801 Illini Dr Silvis IL 61282","801 Illini Dr","Silvis","IL","61282","II",NA,NA,NA
"397",397,"George Washington University Hospital","900 23rd St NW Washington DC 20037","900 23rd St NW","Washington","DC","20037","III",18,"Academic Program","Mohamed  Mohamed, MD"
"398",398,"Georgetown University Hospital","3800 Reservoir Road Northwest Washington DC 20007","3800 Reservoir Road Northwest","Washington","DC","20007","IV",36,"Academic Program","Jayashree Ramasethu, MD"
"399",399,"Glendale Adventist Medical Center","1509 Wilson Terrace Glendale CA 91206","1509 Wilson Terrace","Glendale","CA","91206","II",14,"Private Practice",NA
"400",400,"Glendale Memorial Hospital","1420 S Central Ave Glendale CA 91204","1420 S Central Ave","Glendale","CA","91204","III",13,"Private Practice","Robert Gall, MD"
"401",401,"Glenwood Regional Medical Center","503 McMillan Rd West Monroe LA 71291","503 McMillan Rd","West Monroe","LA","71291","II",6,"Private Practice","Marc de Soler, MD"
"402",402,"Golisano Children’s Hospital of Southwest Florida","9981 S Healthpark Dr Fort Myers FL 33908","9981 S Healthpark Dr","Fort Myers","FL","33908","III",70,"Private Practice","William Liu, MD"
"403",403,"Golisano Children’s Hospital","601 Elmwood Ave Rochester NY 14642","601 Elmwood Ave","Rochester","NY","14642","IV",68,"Academic Program","Jeffrey Meyers, MD"
"404",404,"Good Samaritan Hospital","2425 Samaritan Dr San Jose CA 95124","2425 Samaritan Dr","San Jose","CA","95124","III",51,"Private Practice","Richard Powers MD"
"405",405,"Good Samaritan Hospital","235 N Pearl St Brockton MA 02301","235 N Pearl St","Brockton","MA","02301","II",10,"Academic Program","Shah Hossain, MD"
"406",406,"Good Samaritan Hospital","375 Dixmyth Ave Cincinnati OH 45220","375 Dixmyth Ave","Cincinnati","OH","45220","III",60,"Academic Program","Amy Nathan, MD"
"407",407,"Good Samaritan Hospital","1225 Wilshire Blvd Los Angeles CA 90017","1225 Wilshire Blvd","Los Angeles","CA","90017","III",23,NA,NA
"408",408,"Good Samaritan Hospital","255 Lafayette Ave Suffern NY 10901","255 Lafayette Ave","Suffern","NY","10901","II",10,"Academic Program","Martin Katzenstein, MD"
"409",409,"Good Samaritan Hospital Medical Center","1000 Montauk Hwy West Islip NY 11795","1000 Montauk Hwy","West Islip","NY","11795","III",16,"Private Practice","Prabhu Mehta, MD"
"410",410,"Good Samaritan Medical Center","1309 N Flagler Dr West Palm Beach FL 33401","1309 N Flagler Dr","West Palm Beach","FL","33401","II",NA,"Private Practice",NA
"411",411,"Grady Memorial Hospital","80 Jesse Hill Jr Dr SE Atlanta GA 30303","80 Jesse Hill Jr Dr SE","Atlanta","GA","30303","III",42,"Academic Program","George Bugg, MD"
"412",412,"Graham Hospital","210 W Walnut St Canton IL 61520","210 W Walnut St","Canton","IL","61520","II",NA,NA,NA
"413",413,"Grand Strand Regional Medical Center","809 82nd Pkwy, Myrtle Beach SC 29572","809 82nd Pkwy,","Myrtle Beach","SC","29572","II",2,"Private Practice","Anthony Caeton, MD"
"414",414,"Grand View Hospital","700 Lawn Ave Sellersville PA 18960","700 Lawn Ave","Sellersville","PA","18960","II",6,"Academic Program","Ana Sosnovsky, MD"
"415",415,"Grandview Medical Center","3690 Grandview Pkwy Birmingham AL 35243","3690 Grandview Pkwy","Birmingham","AL","35243","III",12,"Academic Program","Allison Black, MD"
"416",416,"Grant Medical Center","111 S Grant Ave Columbus OH 43215","111 S Grant Ave","Columbus","OH","43215","III",18,"Private Practice","Craig Anderson, MD"
"417",417,"Greater Baltimore Medical Center","6701 Charles St Towson MD 21204","6701 Charles St","Towson","MD","21204","III",23,"Employed Group","Howard Birenbaum, MD"
"418",418,"Greenwich Hospital","5 Perryridge Road Greenwich CT 06830","5 Perryridge Road","Greenwich","CT","06830","III",10,"Academic Program","Open Position"
"419",419,"Gulf Coast Regional Medical Center","449 W 23rd St Panama City FL 32405","449 W 23rd St","Panama City","FL","32405","III",28,"Private Practice","Tony Pena, MD"
"420",420,"Gundersen Lutheran Medical Center","1900 South Ave La Crosse WI 54601","1900 South Ave","La Crosse","WI","54601","III",14,"Network Medical Group","Kate Moen, MD"
"421",421,"Hackensack University Medical Center","30 Prospect Ave, Hackensack NJ 07601","30 Prospect Ave,","Hackensack","NJ","07601","III",40,"Academic Program",NA
"422",422,"Halifax Health Medical Center","303 N Clyde Morris Blvd Daytona Beach FL 32114","303 N Clyde Morris Blvd","Daytona Beach","FL","32114","III",14,"Academic Program",NA
"423",423,"Hamilton Medical Center","1200 Memorial Drive Dalton GA 30722","1200 Memorial Drive","Dalton","GA","30722","III",12,"Private Practice","Travis Carroll, MD"
"424",424,"Harbor Hospital","3001 S Hanover St, Baltimore MD 21225","3001 S Hanover St,","Baltimore","MD","21225","II",13,"Academic Program","Laurel Yap, MD"
"425",425,"Harbor-UCLA Medical Center","1000 W Carson St Torrance CA 90502","1000 W Carson St","Torrance","CA","90502","III",35,"Academic Program","Virender Rehan, MD"
"426",426,"Hardin Memorial Hospital","913 N. Dixie Hwy Elizabethtown KY 42701","913 N. Dixie Hwy","Elizabethtown","KY","42701","II",6,"Academic Program",NA
"427",427,"Harlem Hospital Center","506 Lenox Ave New York NY 10037","506 Lenox Ave","New York","NY","10037","III",15,"Academic Program","Mary Marron-Corwin, MD"
"428",428,"Harlingen Medical Center","5501 US-77 Harlingen TX 78550","5501 US-77","Harlingen","TX","78550","II",NA,NA,NA
"429",429,"Harrison Medical Center","1800 NW Myhre Rd Silverdale WA 98383","1800 NW Myhre Rd","Silverdale","WA","98383","II",10,"Academic Program","Steve Welty, MD"
"430",430,"Hartford Hospital","282 Washington St Hartford CT 06106","282 Washington St","Hartford","CT","06106","IV",32,"Academic Program","Annmarie Golioto, MD"
"431",431,"Haymarket Medical Center","15225 Heathcote Blvd Haymarket VA 20169","15225 Heathcote Blvd","Haymarket","VA","20169","II",16,"Private Practice","Shantharama Karanth, MD"
"432",432,"Hays Medical Center","2220 Canterbury Dr Hays KS 67601","2220 Canterbury Dr","Hays","KS","67601","II",6,NA,NA
"433",433,"HCA Houston Healthcare Conroe","504 Medical Center Blvd Conroe TX 77304","504 Medical Center Blvd","Conroe","TX","77304","III",22,NA,NA
"434",434,"HCA Houston Healthcare Kingwood","22999 US-59 N Kingwood TX 77339","22999 US-59 N","Kingwood","TX","77339","III",24,NA,NA
"435",435,"HCA Houston Healthcare Northwest","710 Cypress Creek Pkwy Houston TX 77090","710 Cypress Creek Pkwy","Houston","TX","77090","III",22,NA,NA
"436",436,"HCA Houston Healthcare Southeast","4000 Spencer Hwy Pasadena TX 77504","4000 Spencer Hwy","Pasadena","TX","77504","III",22,NA,NA
"437",437,"HCA Houston Healthcare Tomball","605 Holderrieth Blvd Tomball TX 77375","605 Holderrieth Blvd","Tomball","TX","77375","II",NA,NA,NA
"438",438,"HCA Houston Healthcare West","12141 Richmond Ave Houston TX 77082","12141 Richmond Ave","Houston","TX","77082","II",NA,"Private Practice","Rita Makhlouf, MD"
"439",439,"HCA Houston Heathcare Clear Lake","500 W. Medical Center Blvd Webster TX 77598","500 W. Medical Center Blvd","Webster","TX","77598","III",42,NA,NA
"440",440,"Helen DeVos Children’s Hospital","100 Michigan St NE Grand Rapids MI 49503","100 Michigan St NE","Grand Rapids","MI","49503","IV",108,"Employed Group","Ed Beaumont, MD"
"441",441,"Henderson Hospital","1050 W Gallaria Dr. Henderson NV 89011","1050 W Gallaria Dr.","Henderson","NV","89011","II",8,"Private Practice","Philip Vaughn, MD"
"442",442,"Hendersonville Medical Center","355 New Shackle Island Rd Hendersonville TN 37075","355 New Shackle Island Rd","Hendersonville","TN","37075","II",6,"Private Practice",NA
"443",443,"Hendrick Medical Center","1900 Pine St Abilene TX 79601","1900 Pine St","Abilene","TX","79601","III",25,"Private Practice","Richard Deulofeut, MD"
"444",444,"Hendricks Regional Health","1000 E Main St, Danville IN 46122","1000 E Main St,","Danville","IN","46122","II",NA,NA,NA
"445",445,"Hennepin County Medical Center","730 S 8th Minneapolis MN 55415","730 S 8th","Minneapolis","MN","55415","III",21,"Academic Program","Constance Adkisson, MD"
"446",446,"Henrico Doctor’s Hospital","1602 Skipwith Rd Richmond VA 23229","1602 Skipwith Rd","Richmond","VA","23229","III",40,"Private Practice","Vicki Rose, MD"
"447",447,"Henry Ford Allegiance Health","205 N East Ave Jackson MI 49201","205 N East Ave","Jackson","MI","49201","II",9,NA,NA
"448",448,"Henry Ford Hospital","2799 W Grand Blvd Detroit MI 48202","2799 W Grand Blvd","Detroit","MI","48202","III",35,"Academic Program","Sudhakar Ezhuthachan, MD"
"449",449,"Henry Ford Macomb Hospital","15855 19 Mile Rd. Clinton Twp MI 48038","15855 19 Mile Rd.","Clinton Twp","MI","48038","II",6,"Academic Program",NA
"450",450,"Henry Ford West Bloomfield Hospital","6777 W Maple Rd West Bloomfield Township MI 48322","6777 W Maple Rd","West Bloomfield Township","MI","48322","II",7,"Academic Program",NA
"451",451,"Henry Ford Wyandotte Hospital","2333 Biddle Ave Wyandotte MI 48192","2333 Biddle Ave","Wyandotte","MI","48192","II",8,"Academic Program",NA
"452",452,"Henry Mayo Newhall Hospital","23845 McBean Pkwy Valencia CA 91355","23845 McBean Pkwy","Valencia","CA","91355","III",11,"Private Practice",NA
"453",453,"Hialeah Hospital","651 East 25th St Hialeah FL 33013","651 East 25th St","Hialeah","FL","33013","II",NA,"Private Practice",NA
"454",454,"Highland Hospital","1411 E 31st St Oakland CA 94602","1411 E 31st St","Oakland","CA","94602","II",NA,NA,NA
"455",455,"Highline Community Hospital","16251 Sylvester Rd SW Burien WA 98166","16251 Sylvester Rd SW","Burien","WA","98166","II",NA,"Academic Program","Meenakshi Dutta, MD"
"456",456,"Hilcrest Hospital South","8801 S 101st E Ave Tulsa OK 74133","8801 S 101st E Ave","Tulsa","OK","74133","II",NA,"Private Practice","Robert Lawson, DO"
"457",457,"Hillcrest Hospital","6780 Mayfield Rd Mayfield Heights OH 44124","6780 Mayfield Rd","Mayfield Heights","OH","44124","III",35,"Academic Program","Firas Saker, MD"
"458",458,"Hillcrest Medical Center","1120 S Utica Ave Tulsa OK 74104","1120 S Utica Ave","Tulsa","OK","74104","III",42,"Private Practice","Parker Simon, DO"
"459",459,"Hoag Hospital Newport Beach","1 Hoag Dr Newport Beach CA 92663","1 Hoag Dr","Newport Beach","CA","92663","III",21,"Private Practice","Robert Hillyard, MD"
"460",460,"Holland Hospital","602 Michigan Ave Holland MI 49423","602 Michigan Ave","Holland","MI","49423","II",8,NA,NA
"461",461,"Hollywood Presbyterian Medical Center","1300 N Vermont Ave Los Angeles CA 90027","1300 N Vermont Ave","Los Angeles","CA","90027","III",24,NA,NA
"462",462,"Holmes Regional Medical Center","1350 Hickory St Melbourne FL 32901","1350 Hickory St","Melbourne","FL","32901","II",12,"Employed Group",NA
"463",463,"Holy Cross Germantown Hospital","19801 Observation Dr, Germantown MD 20876","19801 Observation Dr,","Germantown","MD","20876","II",8,"Private Practice","John Rouhani, MD"
"464",464,"Holy Cross Hospital","4725 N Federal Hwy Fort Lauderdale FL 33308","4725 N Federal Hwy","Fort Lauderdale","FL","33308","II",NA,"Private Practice","Jwalanaiah Bellur, MD"
"465",465,"Holy Cross Hospital","1500 Forest Glen Rd Silver Spring MD 20910","1500 Forest Glen Rd","Silver Spring","MD","20910","III",46,"Private Practice","Isabelle Von Kohorn, MD"
"466",466,"Holy Family Hospital","70 East St Methuen MA 01844","70 East St","Methuen","MA","01844","II",10,"Academic Program","Sanja Aurora, MD"
"467",467,"Holy Redeemer Hospital","1648 Huntingdon Pike Meadowbrook PA 19046","1648 Huntingdon Pike","Meadowbrook","PA","19046","III",15,"Academic Program","Amy Zucker, MD"
"468",468,"Homestead Hospital","975 Baptist Way Homestead FL 33033","975 Baptist Way","Homestead","FL","33033","II",NA,NA,NA
"469",469,"Honor Health Scottsdale – Osborn","7400 E. Osborn Road Scottsdale AZ 85251","7400 E. Osborn Road","Scottsdale","AZ","85251","II",5,"Private Practice","Matt Abrams, MD"
"470",470,"HonorHealth Scottsdale – Shea","9003 E. Shea Blvd Scottsdale AZ 85260","9003 E. Shea Blvd","Scottsdale","AZ","85260","III",28,"Private Practice","Matt Abrams, MD"
"471",471,"Horizon Medical Center","111 Highway 70 East Dickson TN 37055","111 Highway 70 East","Dickson","TN","37055","II",6,"Private Practice","Muhammed Ismail, MD"
"472",472,"Hospital at the University of Pennsylvania","3400 Spruce St, Philadelphia PA 19104","3400 Spruce St,","Philadelphia","PA","19104","III",30,"Academic Program","Phyllis Dennery, MD"
"473",473,"Hospital of Central Connecticut","100 Grand Street New Britain CT 06052","100 Grand Street","New Britain","CT","06052","III",16,"Academic Program","Nancy Louis, MD"
"474",474,"Houston Medical Center","1601 Watson Blvd Warner Robins GA 31093","1601 Watson Blvd","Warner Robins","GA","31093","II",NA,NA,NA
"475",475,"Houston Methodist Baytown Hospital","4401 Garth Rd Baytown TX 77521","4401 Garth Rd","Baytown","TX","77521","II",13,"Academic Program",NA
"476",476,"Houston Methodist Clear Lake Hospital","18300 Houston Methodist Dr, Nassau Bay TX 77058","18300 Houston Methodist Dr,","Nassau Bay","TX","77058","II",NA,NA,NA
"477",477,"Houston Methodist Hospital","6565 Fannin St Houston TX 77030","6565 Fannin St","Houston","TX","77030","III",20,"Academic Program","Maria Carlos, MD"
"478",478,"Houston Methodist Sugar Land Hospital","16655 Southwest Fwy Sugar Land TX 77479","16655 Southwest Fwy","Sugar Land","TX","77479","II",7,NA,NA
"479",479,"Houston Methodist West Hospital","18500 Katy Fwy Houston TX 77094","18500 Katy Fwy","Houston","TX","77094","III",20,NA,NA
"480",480,"Houston Methodist Willowbrook Hospital","18220 TX-249 Houston TX 77070","18220 TX-249","Houston","TX","77070","III",NA,"Academic Program","Athis Arunachalam, MD"
"481",481,"Houston Northwest Medical Center","710 Cypress Creek Parkway Houston TX 77090","710 Cypress Creek Parkway","Houston","TX","77090","III",12,"Private Practice","Craig Steiner, MD"
"482",482,"Howard County General Hospital","5755 Charter Dr, Columbia MD 21044","5755 Charter Dr,","Columbia","MD","21044","III",18,"Academic Program",NA
"483",483,"Howard University Hospital","2041 Georgia Ave NW Washington DC 20060","2041 Georgia Ave NW","Washington","DC","20060","III",9,"Academic Program","Michal Young, MD"
"484",484,"HSHS St. Anthony’s Memorial Hospital","503 N Maple St Effingham IL 62401","503 N Maple St","Effingham","IL","62401","II",NA,"Academic Program",NA
"485",485,"HSHS St. John’s Hospital","800 E Carpenter St Springfield IL 62769","800 E Carpenter St","Springfield","IL","62769","III",40,"Academic Program","Beau Batton, MD"
"486",486,"HSHS St. Joseph’s Hospital","9515 Holy Cross Ln Breese IL 62230","9515 Holy Cross Ln","Breese","IL","62230","II",NA,NA,NA
"487",487,"HSHS St. Mary’s Hospital","1800 E Lake Shore Dr Decatur IL 62521","1800 E Lake Shore Dr","Decatur","IL","62521","II",NA,"Private Practice","Mayra Arzon, MD"
"488",488,"HSHS St. Vincent Hospital","835 S Van Buren St Green Bay WI 54301","835 S Van Buren St","Green Bay","WI","54301","III",25,"Private Practice",NA
"489",489,"Hunt Regional Medical Center","4215 Joe Ramsey Blvd E Greenville TX 75401","4215 Joe Ramsey Blvd E","Greenville","TX","75401","III",12,"Private Practice","Asif Khattak, MD"
"490",490,"Huntington Hospital","270 Park Ave Huntington NY 11743","270 Park Ave","Huntington","NY","11743","II",9,"Academic Program","Shahnaz Orner, MD"
"491",491,"Huntington Memorial Hospital","100 W California Blvd Pasadena CA 91105","100 W California Blvd","Pasadena","CA","91105","III",52,"Private Practice","Jamie Powers, MD"
"492",492,"Huntsville Hospital","101 Sivley Rd SW Huntsville AL 35801","101 Sivley Rd SW","Huntsville","AL","35801","III",55,"Private Practice","Meyer Dworsky, MD"
"493",493,"Hurley Medical Center","1 Hurley Plaza Flint MI 48503","1 Hurley Plaza","Flint","MI","48503","III",44,"Private Practice",NA
"494",494,"Huron Valley-Sinai Hospital","1 William Carls Dr Commerce Charter Twp MI 48382","1 William Carls Dr","Commerce Charter Twp","MI","48382","II",6,"Academic Program",NA
"495",495,"Hutzel Women’s Hospital","3990 John R St Detroit MI 48201","3990 John R St","Detroit","MI","48201","III",36,"Academic Program","Girija Natarajan, MD"
"496",496,"Ingalls Memorial Hospital","1 Ingalls Dr. Harvey IL 60426","1 Ingalls Dr.","Harvey","IL","60426","II",NA,"Academic Program",NA
"497",497,"Inova Alexandria Hospital","4320 Seminary Rd Alexandria VA 22304","4320 Seminary Rd","Alexandria","VA","22304","III",16,"Private Practice","Lisa Goldberg, DO"
"498",498,"Inova Children’s Hospital","3300 Gallows Rd Falls Church VA 22042","3300 Gallows Rd","Falls Church","VA","22042","IV",108,"Private Practice","Alex Kline, MD"
"499",499,"Inova Fair Oaks Hospital","3600 Joseph Siewick Dr Fairfax VA 22033","3600 Joseph Siewick Dr","Fairfax","VA","22033","III",19,"Private Practice","Alan Silk, MD"
"500",500,"Inova Loudoun Hospital","44045 Riverside Pkwy Leesburg VA 20176","44045 Riverside Pkwy","Leesburg","VA","20176","III",12,"Private Practice","David Goodwin, MD"
"501",501,"Inspira Medical Center Mullica Hill","155 Bridgeton Pike, Mullica Hill NJ 08062","155 Bridgeton Pike,","Mullica Hill","NJ","08062","II",6,"Employed Group","Muhammad Anwar, MD"
"502",502,"Inspira Medical Center Vineland","1505 W Sherman Ave, Vineland NJ 08360","1505 W Sherman Ave,","Vineland","NJ","08360","III",20,"Hospital Employed","Muhammad Anwar, MD"
"503",503,"Inspira Medical Center Woodbury","509 N Broad St, Woodbury NJ 08096","509 N Broad St,","Woodbury","NJ","08096","II",6,"Employed Group","Muhammad Anwar, MD"
"504",504,"Integris Baptist Medical Center","3300 Northwest Expy Oklahoma City OK 73112","3300 Northwest Expy","Oklahoma City","OK","73112","III",40,"Private Practice","Edward Co, MD"
"505",505,"Integris Bass Baptist Medical Center","600 S Monroe St. Enid OK 73701","600 S Monroe St.","Enid","OK","73701","II",NA,"Hospital Employed",NA
"506",506,"Integris Health Candian Valley Hospital","1201 Health Center Pkwy Yukon OK 73099","1201 Health Center Pkwy","Yukon","OK","73099","II",NA,"Private Practice",NA
"507",507,"Integris Health Edmond","4801 Integris Parkway Edmond OK 73034","4801 Integris Parkway","Edmond","OK","73034","II",NA,"Private Practice",NA
"508",508,"Intermountain Medical Center","5121 South Cottonwood St Murray UT 84107","5121 South Cottonwood St","Murray","UT","84107","III",48,"Academic Program","Peter Grubb, MD"
"509",509,"IU Health Arnett Hospital","5165 McCarty Ln Lafayette IN 47905","5165 McCarty Ln","Lafayette","IN","47905","III",12,"Academic Program","Abhey Singhal, MD"
"510",510,"IU Health Bloomington","601 W 2nd St Bloomington IN 47403","601 W 2nd St","Bloomington","IN","47403","III",15,"Private Practice",NA
"511",511,"IU Health Methodist Hospital","1701 N Senate Blvd Indianapolis IN 46202","1701 N Senate Blvd","Indianapolis","IN","46202","III",38,"Academic Program","Izlin Lien, MD"
"512",512,"Jackson Hospital","1725 Pine St Montgomery AL 36106","1725 Pine St","Montgomery","AL","36106","II",NA,"Private Practice","Meyer Dworsky, MD"
"513",513,"Jackson Memorial Hospital","1611 NW 12th Avenue Miami FL 33136","1611 NW 12th Avenue","Miami","FL","33136","IV",126,"Academic Program","Shahnaz Duara, MD"
"514",514,"Jackson North Medical Center","160 Northwest 170th Street North Miami Beach FL 33169","160 Northwest 170th Street","North Miami Beach","FL","33169","II",10,"Academic Program","Ilene R.S. Sosenko, MD"
"515",515,"Jackson-Madison County General Hospital","620 Skyline Drive Jackson TN 38301","620 Skyline Drive","Jackson","TN","38301","III",34,"Academic Program","Josefina Go, MD"
"516",516,"Jacobi Medical Center","1400 Pelham Pkwy S, Bronx NY 10461","1400 Pelham Pkwy S,","Bronx","NY","10461","III",25,"Academic Program","Beth Ann Nagourney, MD"
"517",517,"Jamaica Hospital Medical Center","8900 Van Wyck Expy Richmond Hill NY 11418","8900 Van Wyck Expy","Richmond Hill","NY","11418","III",19,"Academic Program","Ajey Jain, MD"
"518",518,"Jeff Gordon Children’s Hospital","920 Church St N Concord NC 28025","920 Church St N","Concord","NC","28025","IV",20,"Hospital Employed","Robert Silver, MD"
"519",519,"Jefferson Hospital","565 Coal Valley Road Jefferson Hills PA 15025","565 Coal Valley Road","Jefferson Hills","PA","15025","II",NA,"Network Medical Group",NA
"520",520,"Jefferson Regional Medical Center","1600 W 40th Ave Pine Bluff AR 71603","1600 W 40th Ave","Pine Bluff","AR","71603","II",NA,NA,NA
"521",521,"Jefferson Washington Township Hospital","435 Hurffville - Cross Keys Rd Sewell NJ 08080","435 Hurffville - Cross Keys Rd","Sewell","NJ","08080","III",14,"Private Practice",NA
"522",522,"Jennie Stewart Medical Center","320 W 18th St Hopkinsville KY 42240","320 W 18th St","Hopkinsville","KY","42240","III",6,"Private Practice","Alex Soriano, MD"
"523",523,"Jersey City Medical Center","355 Grand St, Jersey City NJ 07302","355 Grand St,","Jersey City","NJ","07302","III",41,"Employed Group","Ameth Aguirre, MD"
"524",524,"Jersey Shore University Medical Center","1945 NJ-33, Neptune City NJ 07753","1945 NJ-33,","Neptune City","NJ","07753","III",34,"Academic Program","Sergio Golombek, MD"
"525",525,"JFK Medical Center","5301 S Congress Ave Atlantis FL 33462","5301 S Congress Ave","Atlantis","FL","33462","II",NA,"Private Practice",NA
"526",526,"JFK Medical Center","65 James St, Edison NJ 08820","65 James St,","Edison","NJ","08820","II",6,"Private Practice","Brittany Reid, MD"
"527",527,"Joe Dimaggio Children’s Hospital","1005 Joe DiMaggio Dr Hollywood FL 33021","1005 Joe DiMaggio Dr","Hollywood","FL","33021","III",84,"Private Practice",NA
"528",528,"John Peter Smith Hospital","1500 S Main St Fort Worth TX 76104","1500 S Main St","Fort Worth","TX","76104","III",45,"Employed Group",NA
"529",529,"Johns Hopkins All Children’s Hospital","501 6th Ave S St. Petersburg FL 33701","501 6th Ave S","St. Petersburg","FL","33701","IV",97,"Academic Program","Sandra Brooks,  M.D."
"530",530,"Johns Hopkins Bayview Medical Center","4940 Eastern Ave, Baltimore MD 21224","4940 Eastern Ave,","Baltimore","MD","21224","III",25,"Academic Program","Maureen Gilmore, MD"
"531",531,"Johns Hopkins Hospital","1800 Orleans St, Baltimore MD 21287","1800 Orleans St,","Baltimore","MD","21287","IV",45,"Academic Program","Susan Aucott, MD"
"532",532,"Johnson City Medical Center","400 N State of Franklin Rd Johnson City TN 37604","400 N State of Franklin Rd","Johnson City","TN","37604","III",39,"Academic Program","Dr. Dawn Tuell"
"533",533,"Johnston Willis Hospital","1401 Johnston-Willis Dr Richmond VA 23235","1401 Johnston-Willis Dr","Richmond","VA","23235","III",20,"Private Practice","Sandy Tarant, MD"
"534",534,"Jordan Valley Medical Center","3580 W 9000 South West Jordan UT 84088","3580 W 9000 South","West Jordan","UT","84088","III",11,"Private Practice","Cameron Swinton, MD"
"535",535,"Jordan Valley West Campus","3460 Pioneer Pkwy West Valley City UT 84120","3460 Pioneer Pkwy","West Valley City","UT","84120","II",4,"Private Practice","Cameron Swinton, MD"
"536",536,"Jupiter Medical Center","1210 S Old Dixie Hwy Jupiter FL 33458","1210 S Old Dixie Hwy","Jupiter","FL","33458","II",16,"Private Practice",NA
"537",537,"Kadlec Regional Medical Center","888 Swift Blvd Richland WA 99352","888 Swift Blvd","Richland","WA","99352","III",27,NA,"Eric Mosqueda, MD"
"538",538,"Kaiser  Modesto Medical Center","4601 Dale Rd Modesto CA 95356","4601 Dale Rd","Modesto","CA","95356","III",24,"HMO Position",NA
"539",539,"Kaiser  Santa Clara Medical Center","700 Lawrence Expy Santa Clara CA 95051","700 Lawrence Expy","Santa Clara","CA","95051","III",26,NA,NA
"540",540,"Kaiser Anaheim Medical Center","3440 E La Palma Ave Anaheim CA 92806","3440 E La Palma Ave","Anaheim","CA","92806","III",14,NA,NA
"541",541,"Kaiser Baldwin Park Medical Center","1011 Baldwin Park Blvd Baldwin Park CA 91706","1011 Baldwin Park Blvd","Baldwin Park","CA","91706","III",NA,"HMO Position",NA
