,hosp_num,hosp_name,full_address,addr,city_state_zip,nicu_beds,num_neonats,neonat_names,referral
214,214,WOLFSON CHILDREN<U+2019>S HOSPITAL,"800 Prudential Dr. Jacksonville, FL 32207",800 Prudential Dr.,"Jacksonville, FL 32207",Level IIIC; NICU Beds: 48,Neonatologists:,NA,"Refer to Neonatologists Group of Shands Jacksonville, Jacksonville, FL"
215,215,OSCEOLA REGIONAL MEDICAL CENTER,"700 West Oak St. Kissimmee, FL 34742-2589",700 West Oak St.,"Kissimmee, FL 34742-2589",Level IIIA; NICU Beds: 10,Neonatologists: 2,Neonatologists names: Jose Giereolini; Angelina Pera,NA
216,216,LAKELAND REGIONAL MEDICAL CENTER,"1324 Lakeland Hills Blvd. Lakeland, FL 33805",1324 Lakeland Hills Blvd.,"Lakeland, FL 33805",Level IIIA; NICU Beds: 16,Neonatologists: 2,Neonatologists names: Mark Preziosi; Rene Ruiz,NA
217,217,NORTHWEST MEDICAL CENTER,"Colonial Drive Margate, FL 33063-9002",Colonial Drive,"Margate, FL 33063-9002",Level IIIA; NICU Beds: 10,Neonatologists:,NA,"Refer to Neonatologists Group of Plantation General Hospital, Plantation, FL"
218,218,HOLMES REGIONAL MEDICAL CENTER,"1350 S. Hickory St. Melbourne, FL 32901",1350 S. Hickory St.,"Melbourne, FL 32901",Level IIIA; NICU Beds: 20,Neonatologists: 2,Neonatologists names: Minerva Rasalan; Julio Vallette,NA
219,219,BAPTIST CHILDREN'S HOSPITAL,"8900 N. Kendall Dr. Miami, FL 33176",8900 N. Kendall Dr.,"Miami, FL 33176",Level IIIB; NICU Beds: 36,Neonatologists: 13,Neonatologists names: Kumar Basavegowda; Manuel Campos; William Carroll; Omar Costa; Gisela Diaz-Monroig; Andrew Kairalla; Alex Koetzle; Bernardo Pimentel; Genovea Prieto; William Smalling; Phuket Tantivit; Kara Telvale; Ernesto Valdes,NA
220,220,KENDAL REGIONAL HOSPITAL,"11740 SW 40 St. Miami, FL 33175",11740 SW 40 St.,"Miami, FL 33175",Level IIIA; NICU Beds: 13,Neonatologists:,NA,"Refer to Neonatologists Group of Baptist Children's Hospital, Miami, FL"
221,221,MERCY HOSPITAL,"3663 S. Miami Ave. Miami, FL 33133",3663 S. Miami Ave.,"Miami, FL 33133",Level IIB; NICU Beds: 6,Neonatologists:,NA,"Refer to Neonatologlsts Group of Baptist Children's Hospital, Miami, FL"
222,222,MIAMI CHILDREN'S HOSPITAL,"3100 S.W. 62 Ave. Miami, FL 33155",3100 S.W. 62 Ave.,"Miami, FL 33155",Level IIIC; NICU Beds: 40,Neonatologists: 5,Neonatologists names: Daniela Bianco Batlles; Barry Chandler; Ian Jeffries; Amed Soliz; Pablo Valecia,NA
223,223,NORTH SHORE MEDICAL CENTER,"1100 NW. 95th St. Miami, FL 33150",1100 NW. 95th St.,"Miami, FL 33150",Level IIIB; NICU Beds: 18,Neonatologists: 5,Neonatologists names: Otto Aldana; Feyisol Awohusonv; Frederick Bloom; Michelle Herring; Jorge Perez,NA
224,224,UNIVERSITY OF MIAMI/JACKSON MEMORIAL MEDICAL CENTER,"1611 N.W. 12th Avenue Miami, FL 33136",1611 N.W. 12th Avenue,"Miami, FL 33136",Level IIIC; NICU Beds: 126,Neonatologists: 14,Neonatologists names: Eduardo Bancalari; Emmalee Bandstra; Charles Bauer; Marie Buch; Teresa Del Moral; Shahnaz Duara; Grisel Galarza; Christina Navarrete; Lisa Plano; Ilene Sosenko; Cleide Suguihara; Maritza Torres; Shu Wu; Karen Young,NA
225,225,MT. SINAI MEDICAL CENTER,"4300 Alton Rd., 3-Blum Miami Beach, FL 33140","4300 Alton Rd., 3-Blum","Miami Beach, FL 33140",Level IIIB; NICU Beds: 13,Neonatologists: 2,Neonatologists names: Jose Adams; Ignacio Zabaleta,NA
226,226,JACKSON NORTH MEDICAL CENTER,"160 N.W. 190th St. North Miami Beach, FL 33169",160 N.W. 190th St.,"North Miami Beach, FL 33169",Level IIB; NICU Beds: 10,Neonatologists:,NA,"Refer to Neonatologists Group of Miami Children's Hospital, Miami, FL."
227,227,ORANGE PARK MEDICAL CENTER,"2001 Kinsley Ave. Orange Park, FL 32073",2001 Kinsley Ave.,"Orange Park, FL 32073",Level IIB; NICU Beds: 6,Neonatologists:,NA,"Refer to Neonatologists Group of Shands Jacksonvilte, Jacksonville, FL."
228,228,FLORIDA CHILDREN'S HOSPITAL,"601 E. Rollins St. Orlando, FL 32803",601 E. Rollins St.,"Orlando, FL 32803",Level IIIB; NICU Beds: 61,Neonatologists: 8,Neonatologists names: Carlos Alana; Hilton Bernstein; Winslade Bowen; Neal Goldberg; Eduardo Lugo; Lewis Otero; James Rawlings; Thomas Wiswell,NA
229,229,WINNIE PALMER HOSPITAL FOR WOMEN AND BABIES,"83 W. Miller St. Orlando, FL 32806",83 W. Miller St.,"Orlando, FL 32806",Level IIIC; NICU Beds: 112,Neonatologists: 14,Neonatologists names: Gregor Alexander; David Auerbach; Sharon Brown; Young Byun; Ana Diaz-Albertini; Jose Gierbolini; Douglas Hardy; Brian Lipman; Michael Mc Mahan; Paul Palma; Angelina Pera; Jose Perez; Mai Phung; Laxmi Rao,NA
230,230,GULF COAST MEDICAL CENTER,"449 W. 23rd St. Panama City, FL 32405",449 W. 23rd St.,"Panama City, FL 32405",Level IIB; NICU Beds: 12,Neonatologists: 2,Neonatologists names: Helen Fountain; Andy Kairalla,NA
231,231,SACRED HEART HOSPITAL,"5151 W. 9th Ave. Pensacola, FL 32504",5151 W. 9th Ave.,"Pensacola, FL 32504",Level IIIB; NICU Beds: 56,Neonatologists: 6,Neonatologists names: Paul Berger; Tony Hampton; Nathan Knutson; Antonio Pena; Mario Reale; Jason Tanner,NA
232,232,PLANTATION GENERAL HOSPITAL,"401 N.W. 42nd Ave. Plantation, FL 33317",401 N.W. 42nd Ave.,"Plantation, FL 33317",Level IIIB; NICU Beds: 31,Neonatologists: 8,Neonatologists names: Maria Antigua; Mark Bedrin; Barry Chandler; Marco Gonzalez; Luiz Grajwer; Grete Peck; Ross Sommers; Mitchell Stern,NA
233,233,WUESTHOFF HOSPITAL,"110 Longwood Ave. Rockledge, FL 32956-5002",110 Longwood Ave.,"Rockledge, FL 32956-5002",Level IIIA; NICU Beds: 10,Neonatologists: 2,Neonatologists names: Javier Diaz-Blanco; Margaret Go,NA
234,234,MEASE COUNTRYSIDE HOSPITAL,"3231 McCullen Booth Rd. Safety Harbor, FL 34695",3231 McCullen Booth Rd.,"Safety Harbor, FL 34695",Level IIIB; NICU Beds: 15,Neonatologists:,NA,"Refer to Neonatelogists Group of St. Joseph's Women's Hospital of Tampa, FL"
235,235,SARASOTA MEMORIAL,"1700 S. Tamiami Trail Sarasota, FL 34239",1700 S. Tamiami Trail,"Sarasota, FL 34239",Level IIIB; NICU Beds: 20,Neonatologists: 5,Neonatologists names: Darlene Calhoun; Francisco Ojeda; Anthony Napolitano; Peter Nwokeji; Dean Theophilopaulos,"Refer to Neonatology Group of St. Petersburg, FL"
236,236,ALL CHILDREN'S HOSPITAL,"501 Sixth St. South St. Petersburg, FL 33701",501 Sixth St. South,"St. Petersburg, FL 33701",Level IIIC; NICU Beds: 97,Neonatologists: 14,Neonatologists names: Sandra Brooks; Danilo Escoto; Aaron Germain; Jeane Mc Carthy; Victor Mc Kay; Anthony Napolitano; Francisco Ojeda; Anjni Patel; Fauzia Shakeel; Roberto Sosa; Stacey Stone; Carine Stromquist; Benjamin Torres; Raj Wudhawan,NA
237,237,MARTIN MEMORIAL MEDICAL CENTER,"300 S.E. Hospital Dr. Stuart, FL 34995",300 S.E. Hospital Dr.,"Stuart, FL 34995",Level IIIB; NICU Beds: 5,Neonatologists:,NA,"Refer to Neonatologists Group of St. Mary's Hospital, West Paim Beach, FL"
238,238,TALLAHASSEE MEMORIAL HOSPITAL,"1300 Miccosukee Rd. Tallahassee, FL 32308",1300 Miccosukee Rd.,"Tallahassee, FL 32308",Level IIIB; NICU Beds: 30,Neonatologists: 1,Neonatologists names: Todd Patterson,NA
239,239,ST. JOSEPH'S WOMEN'S HOSPITAL,"3030 W. Dr. M.L. King Jr. Blvd. Tampa, FL 33607",3030 W. Dr. M.L. King Jr. Blvd.,"Tampa, FL 33607",Level IIIB; NICU Beds: 50,Neonatologists: 9,Neonatologists names: Cherie Foster; Dushan Martinasek; Julie Mendoza; Erin Parilla; Mohan Rao; Monisha Saste; Richard Sheridan; Kenneth Solomon; Lance Wyble,NA
240,240,TAMPA GENERAL HOSPITAL,"106 W Targa Ct. Tampa, FL 33606",106 W Targa Ct.,"Tampa, FL 33606",Level IIIC; NICU Beds: 42,Neonatologists: 8,Neonatologists names: Terri Ashmeade; Maya Balakrishnan; Michael Fant; Laura Haubner; Angel Luciano; Robert Nelson Jr.; Lewis Rubin; Ronald Sutsko,NA
241,241,THE WOMAN'S CENTER AT UNIVERSITY COMMUNITY HOSPITAL,"3100 E. Fletcher Ave. Tampa, FL 33613",3100 E. Fletcher Ave.,"Tampa, FL 33613",Level IIIB; NICU Beds: 15,Neonatologists: 4,Neonatologists names: Keith Kanarek; Manuel Ong; Jorge Rayon; Noel Tan,NA
242,242,WELLINGTON REGIONAL MEDICAL CENTER,"10101 Forest Hill Blvd. Wellington, FL 33414",10101 Forest Hill Blvd.,"Wellington, FL 33414",Level IIIB; NICU Beds: 25,Neonatologists:,NA,"Refer to Neonatologists Group of St. Mary's Hospital of West Palm Beach, FL"
243,243,GOOD SAMARITAN MEDICAL CENTER,"1309 North Flagler St. West Palm Beach, FL 33401",1309 North Flagler St.,"West Palm Beach, FL 33401",Level IIB; NICU Beds: 5,Neonatologists: 1,Neonatologists names: David Kanter,NA
244,244,ST. MARY'S HOSPITAL,"901 45th St. West Palm Beach, FL 33407",901 45th St.,"West Palm Beach, FL 33407",Level IIIB; NICU Beds: 49,Neonatologists: 11,Neonatologists names: Marie Ambroise; John Bankston; Laura Basile; Enoch Cordoba; Bridgett Hempel; Sheri Nemerofsky; Jade Sha; Clarice Staves; Lerma Te; Setty Viralam; Janet Wingkun,NA
245,245,REGENCY CENTER FOR WOMEN AND INFANTS,"101 Avenue ""O"", S, E. Winter Haven, FL 33880","101 Avenue ""O"", S, E.","Winter Haven, FL 33880",Level IIIA; NICU Beds: 11,Neonatologists: 2,Neonatologists names: Maria Gracia Espejo-Kong; Jennifer Fynn,NA
246,246,WINTER PARK MEMORIAL HOSPITAL,"200 N. Lakemont Ave. winter Park, FL. 32792",200 N. Lakemont Ave.,"winter Park, FL. 32792",Level IIB; NICU Beds: 5,Neonatologists:,NA,"Refer to Neonatologists Group of Florida Children's Hospital, Orlando, FL"
247,247,PHOEBE PUTNEY MEMORIAL HOSPITAL,"417 Third Avenue, P.O. Box 1828 Albany, GA 31702-1828","417 Third Avenue, P.O. Box 1828","Albany, GA 31702-1828",Level IIIB; NICU Beds: 30,Neonatologists: 4,Neonatologists names: Richard Heath; Mark Ignatz; Georgiana Miksis; Steven Morse,NA
248,248,ATHENS REGIONAL MEDICAL CENTER,"1199 Prince Ave. Athens, GA 30606",1199 Prince Ave.,"Athens, GA 30606",Level IIIA; NICU Beds: 16,Neonatologists: 3,Neonatologists names: Edward Conner; Maria Elisabeth Faase; Atul Khurana,NA
249,249,ST. MARY'S HOSPITAL,"1230 Baxter St. Athens, GA 30606",1230 Baxter St.,"Athens, GA 30606",Level 111B; NICU Beds: 16,Neonatologists: 1,Neonatologists names: Victor Morales,NA
250,250,ATLANTA MEDICAL CENTER,"303 Parkway Dr., N.E. Atlanta, GA 30312","303 Parkway Dr., N.E.","Atlanta, GA 30312",Level IIIB; NICU Beds: 32,Neonatologists: 1,Neonatologists names: Fuad Fakhreddine,NA
251,251,CHILDREN'S HEALTHCARE ATLANTA - SCOTTISH,"1001 Johnson Ferry Rd. NE Atlanta, GA 30342-1600",1001 Johnson Ferry Rd. NE,"Atlanta, GA 30342-1600",Level IIIB; NICU Beds: 35,Neonatologists:,NA,"Refer to Neonatologists Group of Northside Hospital of Atlanta, GA"
252,252,CHILDREN<U+2019>S HEALTHCARE OF ATLANTA AT EGLESTON; EMORY UNIVERSITY CAMPUS,"1405 Clifton Rd., N.E. Atlanta, GA 30322","1405 Clifton Rd., N.E.","Atlanta, GA 30322",Level IIIC; NICU Beds: 37,Neonatologists:,NA,"Refer to Emory University School of Medicine, Division of Neonatology, Atlanta, GA"
253,253,EMORY UNIVERSITY HOSPITAL - MIDTOWN,"550 Peachtree St., NE Atlanta, GA 30308","550 Peachtree St., NE","Atlanta, GA 30308",Level IIIB; NICU Beds: 32,Neonatologists:,NA,"Refer to Emory University School of Medicine, Division of Neonatology, Atlanta, GA"
254,254,EMORY UNIVERSITY SCHOOL OF MEDICINE,"2015 Uppergate Dr. Atlanta, GA 30322",2015 Uppergate Dr.,"Atlanta, GA 30322",Level IIIC; NICU Beds: 100,Neonatologists: 24,Neonatologists names: Ira Adams-Chapman; Linda Black; Alfred Brann Jr.; Dona Buchter; George Bugg Jr.; David Carlton; Ann Critz; April Dworetz; Francine Dykes; Theresa Gauthier; Shannon Hamrick; Lucky Jain; Sarah Keene; Niki Kosmetatos; Nancy Louis; Letitia Mobley; James Moore; Ojoru Osunkoya; Anthony Piazza; William Sexson; Jennifer Shih; Barbara Stoll; Shilpa Vyas-Read; Helen Williams,NA
255,255,GRADY MEMORIAL HOSPITAL,"80 Jesse Hill Je Dr. SE Atlanta, GA 30303",80 Jesse Hill Je Dr. SE,"Atlanta, GA 30303",Level IIIB; NICU Beds: 31,Neonatologists:,NA,"Refer to Emory University School of Medicine, Division of Neonatology, Atlanta, GA"
256,256,NORTHSIDE HOSPITAL,"1000 Johnson Ferry Ad., N.E. Atlanta, GA 30342","1000 Johnson Ferry Ad., N.E.","Atlanta, GA 30342",Level IIIB; NICU Beds: 125,Neonatologists: 22,Neonatologists names: Susan Anderson; Drew Davey; Karen Dudley; Laura Drohan; Sharon Hamre; Michael Hinkes; Treva Ingram; James Jose; Sandy Jun; Munir Kapasi; William Keyes; Kenneth Kupke; Martha Manar; Gonzalo Mantilla; Jon Miller; Margaret Moore; Patrick Spafford; Bharath Srivatsa; Gregory Sysyn; Wendy Troyer; Lawrence Wallin; Karen Walson,NA
257,257,DOCTORS HOSPITAL OF AUGUSTA,"3651 Wheeler Rd. Augusta, GA 30909-6426",3651 Wheeler Rd.,"Augusta, GA 30909-6426",Level IIB; NICU Beds: 6,Neonatologists:,NA,"Refer to Neonatologists Group of University Hospital of Augusta, GA"
258,258,MEDICAL COLLEGE OF GEORGIA HOSPITAL,"1120 15th St. Augusta, GA 30912-0004",1120 15th St.,"Augusta, GA 30912-0004",Level IIIC; NICU Beds: 40,Neonatologists: 4,Neonatologists names: Jatinder Bhatia; Frederick Boedy; Chantrapa Bunyapen; Oommen Mathew,NA
259,259,UNIVERSITY HOSPITAL; NEWBORN SERVICES,"1350 Walton Way Augusta, GA 309014",1350 Walton Way,"Augusta, GA 309014",Level IIIA; NICU Beds: 25,Neonatologists: 4,Neonatologists names: John Bartley; Allen Blalock; Vincent Brawley; Cecil Sharp,NA
260,260,WELLSTAR COBB HOSPITAL,"3950 Austell Rd. Austell, GA 30106",3950 Austell Rd.,"Austell, GA 30106",Level IIIB; NICU Beds: 20,Neonatologists: 2,Neonatologists names: Rachel Lipson; Michael Metcalf,"Refer to Neonatologists Group of Kennestone Hospital, Marietta, GA"
261,261,THE MEDICAL CENTER OF COLUMBUS GEORGIA,"710 Center St. Columbus, GA 31909",710 Center St.,"Columbus, GA 31909",Level IIIB; NICU Beds: 28,Neonatologists: 4,Neonatologists names: Maurice Chen; David Levine; Louis Levy; Peter Resnick,NA
262,262,ROCKDALE MEDICAL CENTER,"1412 Milstead Ave. Conyers, GA 30012",1412 Milstead Ave.,"Conyers, GA 30012",Level IIIB; NICU Beds; 22,Neonatologists:,NA,"Refer to Neonatologisis Group of Gwinnett Hospital System, Lawrenceville, GA"
263,263,NORTHSIDE FORSYTH HOSPITAL,"1200 Northside Forsyth Dr. Cuming, GA 30041",1200 Northside Forsyth Dr.,"Cuming, GA 30041",Level IIIA; NICU Beds: 16,Neonatologists: 2,Neonatologists names: Jon Miller; Lawrence Wallin,NA
264,264,DEKALB MEDICAL NORTH DECATUR,"2701 N. Decatur Ad. Decatur, GA 30033",2701 N. Decatur Ad.,"Decatur, GA 30033",Level IIIB; NICU Beds: 92,Neonatologists: 5,Neonatologists names: Michael Armand; Peter Carrillo; Bridgett Cobb; Madeleine DelPortillo; Laura Lord,NA
265,265,PIEDMONT FAYETTE HOSPITAL,"1255 Highway 54 West Fayetteville, GA 30214",1255 Highway 54 West,"Fayetteville, GA 30214",Level IIB; NICU Beds: <U+00A7>,Neonatologists: 7,Neonatologists names: Michael Dwyer; Neal Guttenberg; Ravi Iyer; Scott Johnson; Jorge Parellada; Deepa Ranganathan; Roderick Robinson,NA
266,266,HUTCHESON MEDICAL CENTER,"100 Gross Crescent Circle Fort Oglethorpe, GA 30742",100 Gross Crescent Circle,"Fort Oglethorpe, GA 30742",Level IIB; NICU Beds: 6,Neonatologists:,NA,"Refer to Neonatologists Group of T.C, Thompson Children<U+2019>s Hospital, Chattanooga, TN"
267,267,NORTHEAST GEORGIA MEDICAL CENTER,"743 Spring St. Gainesville, GA 30501",743 Spring St.,"Gainesville, GA 30501",Level IIIB; NICU Beds: 26,Neonatologists: 3,Neonatologists names: Cynthia Cabrera; Armando Castillo; James Holcomb,NA
268,268,GWINNETT HOSPITAL SYSTEM,"550 Medical Center Blvd. Lawrenceville, GA 30045",550 Medical Center Blvd.,"Lawrenceville, GA 30045",Level IIIB; NICU Beds: 28,Neonatologists: 4,Neonatologists names: Riad Ahmad; Leslie Leigh; Palanisamy Rajasekaran; Dan Suskin,NA
269,269,COLISEUM MEDICAL CENTER,"350 Hospital Dr. Macon, GA 31213",350 Hospital Dr.,"Macon, GA 31213",Level IIIB; NICU Beds: 13,Neonatologists: 2,Neonatologists names: Edward Conner; Misael Rodriguez,NA
270,270,THE CHILDREN'S HOSPITAL OF MCCG,"777 Hemlock St. Macon, GA 31208-6000",777 Hemlock St.,"Macon, GA 31208-6000",Level IIIB; NICU Beds: 42,Neonatologists: 1,Neonatologists names: Misael Rodriguez,NA
271,271,WELLSTAR KENNESTONE HOSPITAL,"677 Church St. Marietta, GA 30060",677 Church St.,"Marietta, GA 30060",Level IIIB; NICU Beds: 24,Neonatologists: 4,Neonatologists names: Emma Casanova; Rachael Lipson; Brenda Marino; James Metcalf,NA
272,272,SOUTHERN REGIONAL MEDICAL CENTER,"11 Upper Riverdale Rd Riverdale, GA 30274-2600",11 Upper Riverdale Rd,"Riverdale, GA 30274-2600",Levelt IIIB; NICU Beds: 30,Neonatologists: 2,Neonatologists names: Adegboyega Aderibigbe; Francisco Velez,NA
273,273,FLOYD MEDICAL CENTER,"304 Turner McCall Blvd. Rome, GA 30162-0233",304 Turner McCall Blvd.,"Rome, GA 30162-0233",Level IIiA; NICU Beds: 18,Neonatologists: 2,Neonatologists names: Dana Cason; John Moss,NA
274,274,NORTH FULTON REGIONAL HOSPITAL,"3000 Hospital Blvd. Roswell, GA 30076",3000 Hospital Blvd.,"Roswell, GA 30076",Level IIIA; NICU Beds: 8,Neonatologists: 2,Neonatologists names: Riad Ahmad; Al Rabbatt,NA
275,275,MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER - BACKUS CHILDREN'S HOSPITAL,"4700 Waters Ave. Savannah, GA 31403-3089",4700 Waters Ave.,"Savannah, GA 31403-3089",Level IIIB; NICU Beds: 44,Neonatologists: 8,Neonatologists names: Bradley Bucker; Eleanor Eades; Michael Friedman; Linda Sacks; Daniel Sandler; Nancy Shull; Pat Turner; Mark Wright,NA
276,276,ST. JOSEPH'S/CHANDLER,"5353 Reynolds St. Savannah, GA 31405",5353 Reynolds St.,"Savannah, GA 31405",Level IIA; NICU Beds: 4,Neonatologists:,NA,"Refer to Neanatologists Group of Memorial Health University Medical Genter - Backus Children's Hospital, Savannah, GA"
277,277,HENRY MEDICAL CENTER,"1133 Eagle's Landing Parkway Stockbridge, GA 30281",1133 Eagle's Landing Parkway,"Stockbridge, GA 30281",Level IIIA; NICU Beds: 28,Neonatologists: 3,Neonatologists names: Michael Dwyer; Ravi Iyer; Roderick Robinson,NA
278,278,KAISER PERMANENTE MEDICAL CENTER - HAWAII,"3288 Moanalua Rd. Honolulu, HI 96849",3288 Moanalua Rd.,"Honolulu, HI 96849",Level IIIB; NICU Beds: 21,Neonatologists: 2,Neonatologists names: Judd Boloker; Lois Chiu,NA
279,279,KAPI'OLANI MEDICAL CENTER FOR WOMEN AND CHILDREN,"1319 Punahou St. Honolulu, HI 96826",1319 Punahou St.,"Honolulu, HI 96826",Level IIIC; NICU Beds: 55,Neonatologists: 16,Neonatologists names: Kenneth Ash; Venkataraman Balaraman; Carol Hirai; Lynn Iwamoto; Prakash Kabbur; Sheree Kuo; Sarah Lentz-Kaupla; Sherry Loo; Joan Meister; Daniel Murai; Kenneth Nakamura; Charles Neal; Milette Oliveros; Sheha Sood; Tiong Thoeng; Carla Weis,NA
280,280,TRIPLER ARMY MEDICAL CENTER,"1 Jarrett White Rd. Tripler AMC, HI 96859-5000",1 Jarrett White Rd.,"Tripler AMC, HI 96859-5000",Level IIIB; NICU Beds: 18,Neonatologists: 7,Neonatologists names: Danielle Bird; Joseph Hudak; Sarah Lentz-Kapua; Taylor Sawyer; Melissa Tyree; Kreangkai Tyree; Timothy Vedder,NA
281,281,MERCY HOSPITAL,"701 10th St. SE Cedar Rapids, IA 52408]3-1272",701 10th St. SE,"Cedar Rapids, IA 52408]3-1272",Level IIB; NICU Beds: 10,Neonatologists: 2,Neonatologists names: Roger Allen; Nicholas Sherrow,NA
282,282,ST. LUKE<U+2019>S HOSPITAL,"1026 A. Avenue NE Cedar Rapids, IA 52406-3026",1026 A. Avenue NE,"Cedar Rapids, IA 52406-3026",Level IIIB; NICU Beds: 22,Neonatologists: 2,Neonatologists names: Andrew Nordine; Dennis Rosenblum,NA
283,283,GENESIS MEDICAL CENTER,"1227 E. Rusholme St. Davenport, IA 52803",1227 E. Rusholme St.,"Davenport, IA 52803",Level IIIA; NICU Beds: 14,Neonatologists:,NA,"Refer to Neonatologists Group of University of Iowa Children<U+2019>s Hospital, Iowa City, IA"
284,284,BLANK CHILDREN'S HOSPITAL,"1200 Pleasant St. Des Moines, IA 50309",1200 Pleasant St.,"Des Moines, IA 50309",Level IIIB; NICU Beds: 40,Neonatologists: 7,Neonatologists names: Samir Alabsi; Rodrigo Azuero; Holley Bzdega; Susan Harrell; Bradley Riley; Joel Stenzel; Gary Yuille,NA
285,285,MERCY MEDICAL CENTER,"1111 6th Ave. Des Moines, IA 50314-2611",1111 6th Ave.,"Des Moines, IA 50314-2611",Level IIIB; NICU Beds: 44,Neonatologists: 7,Neonatologists names: Vipinchandra Bhavsar; Dan Ellsbury; Christine Fong; Lori Katz; Cary Murphy; Pati Reinsvold; Theresa Wahlig,NA
286,286,UNIVERSITY OF IOWA CHILDREN<U+2019>S HOSPITAL,"200 Hawkins Dr. Iowa City, IA 52242",200 Hawkins Dr.,"Iowa City, IA 52242",Level IIIC; NICU Beds: 70,Neonatologists: 13,Neonatologists names: Sunny Arikat; Edward Bell; Tarah Colaizy; John Dagle; Jonathan Klein; Julie Lindower; Frank Morriss Jr.; Ram Niwas; Glenda Rabe; Robert Roghair; Jeffrey Segar; John Widness; Zahi Zeidan,NA
287,287,ST. LUKE<U+2019>S REGIONAL MEDICAL CENTER,"2720 Stone Pk. Blvd. Sioux City, IA 51104",2720 Stone Pk. Blvd.,"Sioux City, IA 51104",Level IIIB; NICU Beds: 24,Neonatologists: 2,Neonatologists names: Raul Banagale; Thomas Wilson,NA
288,288,ALLEN MEMORIAL HOSPITAL,"1825 Logan Ave. Waterloo, IA 50703",1825 Logan Ave.,"Waterloo, IA 50703",Level IIB; NICU Beds: 7,Neonatologists: 1,Neonatologists names: P. Nagaresh,NA
289,289,COVENANT MEDICAL CENTER,"3421 W. Ninth St. Waterloo, IA 50702",3421 W. Ninth St.,"Waterloo, IA 50702",Level IIB; NICU Beds: 16,Neonatologists: 2,Neonatologists names: Nasreen Wahidi; Mir Waziri,NA
290,290,ST. ALPHONSUS HOSPITAL,"1055 North Curtis Rd. Boise, ID 83706",1055 North Curtis Rd.,"Boise, ID 83706",Level IIIB; NICU Beds: 30,Neonatologists: 3,Neonatologists names: Stewart Lawrence; Jennifer Merchant; Matthew Sell,NA
291,291,ST. LUKE'S REGIONAL MEDICAL CENTER,"190 E. Bannock St Boise, ID 83712",190 E. Bannock St,"Boise, ID 83712",Level IIIB; NICU Beds: 61,Neonatologists: 8,Neonatologists names: Ron Coen; Charlene Crichton; Nick Harper; Erik Meyers; Declan O'Riordan; Scott Snyder; James Vanlooy; Pawel Zieba,NA
292,292,EASTERN IDAHO REGIONAL MEDICAL CENTER,"3100 Channing Way Idaho Falls, ID 83404",3100 Channing Way,"Idaho Falls, ID 83404",Level IIIB; NICU Beds: 26,Neonatologists: 3,Neonatologists names: Travis Anschutz; Kimberly Balay; Shannon Jenkins,NA
293,293,ST. LUKE'S MERIDIAN MEDICAL CENTER,"520 South Eagle Rd. Meridian, ID 83642",520 South Eagle Rd.,"Meridian, ID 83642",Level IIA; NICU Beds: 12,Neonatologists:,NA,"Refer to Neonatologists Group of St. Luke's Regional Medical Center, Boise, ID"
294,294,PORTNEUF MEDICAL CENTER,"777 Hospital Way Pocatello, ID 83201",777 Hospital Way,"Pocatello, ID 83201",Level IIIB; NICU Beds: 16,Neonatologists:,NA,"Refer to Neonatologists Group of Eastern Idaho Regional Medical Center, Idaho Falls, 1D"
295,295,MADISON MEMORIAL HOSPITAL,"450 East Main Rexburg, ID 83440",450 East Main,"Rexburg, ID 83440",Level IIB; NICU Beds: 14,Neonatologists:,NA,"Refer to Neonatologists Group of Idaho Eastern Idaho Regional Medical Center, Idaho Falls, 1D"
296,296,NORTHWEST COMMUNITY HOSPITAL,"800 W. Central Rd. Arlington Helghts, IL. 60005-2392",800 W. Central Rd.,"Arlington Helghts, IL. 60005-2392",Level IIIB; NICU Beds: 22,Neonatologists: 5,Neonatologists names: Joel Fisher; Martin Kelly; Violeta Komotos; Medhat Philobos; Lina Sapigiene,NA
297,297,RUSH-COPLEY MEDICAL CENTER,"2000 Ogden Ave. Aurora, IL 60504",2000 Ogden Ave.,"Aurora, IL 60504",Level IIIB; NICU Beds: 27,Neonatologists:,NA,"Refer to Neonatologists Group of Advocate Lutheran General Hospital, Park Ridge, IL"
298,298,ST. ELIZABETH'S HOSPITAL,"211 3rd St. Belleville, IL 62222",211 3rd St.,"Belleville, IL 62222",Level IIIA; NICU Beds: 15,Neonatologists: 1,Neonatologists names: Salil Gupta,NA
299,299,ADVOCATE TRINITY HOSPITAL,"2320 E. 93rd St. Chicago, IL 60617",2320 E. 93rd St.,"Chicago, IL 60617",Level IIB; NICU Beds: 8,Neonatologists: 1,Neonatologists names: Udonchukwu Asonye,NA
300,300,CHILDREN'S MEMORIAL HOSPITAL; PRENTICE WOMEN'S HOSPITAL,"2300 Children<U+2019>s Plaza Chicago, IL 60614",2300 Children<U+2019>s Plaza,"Chicago, IL 60614",Level IIIC; NICU Beds: 50,Neonatologists: 22,Neonatologists names: Molly Ball; Sara Berkelhamer; Sara Cadichon; James Collins; Isabelle De Plaen; Marissa De Ungria; Ruth Deddish; Raye-Ann deRegnier; Maria Dizon; Kathryn Farrow; Yasmin Khan; Praveen Kumar; Keri Machut; Nana Matoba; Karen Mestian; Karna Murthy; Marta Perez; Nicholas Porta; Daniel Robinson; Monica Sejpal; Malika Shah; Robin Steinhorn,NA
