"","hosp_num","hosp_name","full_address","addr","city","state","zip","nicu_beds","num_neonats","neonat_names","referral"
"191",191,"PROVIDENCE HOSPITAL ","1150 Varnum St. N.E. Washington  DC  20017","1150 Varnum St. N.E.","Washington"," DC ","20017","NICU Beds:9","Neonatologists:2","Neonatologists names: Arthur Macaraeg; Maria Ruiz",NA
"192",192,"WALTER REED ARMY MEDICAL CENTER","6900 Georgia Avenue NW Washington  DC  20307","6900 Georgia Avenue NW","Washington"," DC ","20307","NICU Beds:16","Neonatologists:",NA,"Refer to Uniform Services University of the Health Science, Bethesda, MD"
"193",193,"WASHINGTON HOSPITAL CENTER ","110 Irving St. NW, #5B-17 Washington  DC  20010","110 Irving St. NW, #5B-17","Washington"," DC ","20010","NICU Beds:20","Neonatologists:7","Neonatologists names: Zacharia Cherian; John Grausz; Mahmoud Kheirbek; Juanita Mendiola; Myoung Park; Roberto Pedraza; Nancy William-Horak ",NA
"194",194,"BOCA RATON COMMUNITY HOSPITAL ","800 Meadows Rd. Boca Raton  FL  33486","800 Meadows Rd.","Boca Raton"," FL ","33486","NICU Beds:8","Neonatologists:3","Neonatologists names: Ellen Eisenberg; Frederick Miller; Brijmohan Singh; ",NA
"195",195,"WEST BOCA MEDICAL CENTER","21644 State Road 7 Boca Raton  FL  33428","21644 State Road 7","Boca Raton"," FL ","33428","NICU Beds:12","Neonatologists:4","Neonatologists names: Olga Garcia; Marco Gonzales; Luiz Grajwer; Jospeh Schulman ",NA
"196",196,"BETHESDA MEMORIAL HOSPITAL","2815 S. Seacrest Blvd. Boynton Beach  FL  33435","2815 S. Seacrest Blvd.","Boynton Beach"," FL ","33435","NICU Beds:12","Neonatologists:5","Neonatologists names: Ghazala Ahmed; Eduardo Otero; Virginia Turnier; Lily Whetstine; Deborah Wilbur",NA
"197",197,"MANATEE MEMORIAL HOSPITAL","206 Second St. E. Bradenton  FL  34208","206 Second St. E.","Bradenton"," FL ","34208","NICU Beds:6","Neonatologists:2","Neonatologists names: Naren Jadeja; Alberto Soto",NA
"198",198,"MORTON PLANT HOSPITAL ","3232 Jeffords St. Clearwater  FL  34617","3232 Jeffords St.","Clearwater"," FL ","34617","NICU Beds:10","Neonatologists:5","Neonatologists names: Deborah Donlon; Danilo Escoto; Anthony Napolitano; Anjni Patel; Roberto Sosa",NA
"199",199,"HEALTHSOUTH DOCTOR'S HOSPITAL","5000 University Dr. Coral Gables  FL  33146","5000 University Dr.","Coral Gables"," FL ","33146","NICU Beds:10","Neonatologists:3","Neonatologists names: Maria-Catalina Fortun; Genovena Prieto; Lydia Quintero",NA
"200",200,"CORAL SPRINGS MEDICAL CENTER ","3000 Coral Hill Dr. Coral Springs  Fl.  33065","3000 Coral Hill Dr.","Coral Springs"," Fl. ","33065","NICU Beds:16","Neonatologists:4","Neonatologists names: Jose Colindres; Gergorio Melnick; Manuel Ortega-Elias; Sedigheh Zolfaghari",NA
"201",201,"HALIFAX MEDICAL CENTER ","303 N. Clyde Morris Rd. Daytona Beach  FL   32114","303 N. Clyde Morris Rd.","Daytona Beach"," FL  ","32114","NICU Beds:9","Neonatologists:1","Neonatologists names: Yic Auyeng",NA
"202",202,"MEASE HOSPITAL DUNEDIN","601 Main St. Dunedin  FL  34697","601 Main St.","Dunedin"," FL ","34697","NICU Beds:10","Neonatologists:3","Neonatologists names: Ana Diaz-Albertini; Milord Georges; Mary Newport",NA
"203",203,"BROWARD GENERAL MEDICAL CENTER","1600 S. Andrews Ave. Ft. Lauderdale  FL  33316","1600 S. Andrews Ave.","Ft. Lauderdale"," FL ","33316","NICU Beds:65","Neonatologists:7","Neonatologists names: Howard Brenker; Gisella Diaz-Monroig; Steve Haskins; Atiah Hussain; Galdino Silva-Neto; Brian Udell; Elizabeth Welch ",NA
"204",204,"HOLY CROSS HOSPITAL","4725 N. Federal Hwy. Ft. Lauderdale  FL  33308","4725 N. Federal Hwy.","Ft. Lauderdale"," FL ","33308","NICU Beds:9","Neonatologists:2","Neonatologists names: Bellur Jwalanaiah; Lalit Shah",NA
"205",205,"LEE MEMORIAL HOSPITAL ","9981 Health Park Circle #281 Ft. Myers  FL  33908","9981 Health Park Circle #281","Ft. Myers"," FL ","33908","NICU Beds:45","Neonatologists:4","Neonatologists names: Deogracias Caangay; Mohamed Faisal; William Liu; Shahid Sultan",NA
"206",206,"LAWNWOOD REGIONAL MEDICAL CENTER","1700 S. 17th St. Ft. Pierce  FL  34950","1700 S. 17th St.","Ft. Pierce"," FL ","34950","NICU Beds:10","Neonatologists:2","Neonatologists names: Olga Casanova; Lorencio Laroya",NA
"207",207,"ALACHUA GENERAL HOSPITAL ","801 S.W. Second Ave. Gainesville  FL  32601","801 S.W. Second Ave.","Gainesville"," FL ","32601","NICU Beds:9","Neonatologists:2","Neonatologists names: Paul Berger; Ayele Hadero",NA
"208",208,"UNIVERSITY OF FLORIDA","JHMHC Box 100296 Gainesville  FL  32610","JHMHC Box 100296","Gainesville"," FL ","32610","NICU Beds:50","Neonatologists:10","Neonatologists names: Marylou Behnke; Richard Bucciarelli; David Burchfield; Robert Chirstensen; Willa Drummond; Donald Eitzman; Elizabeth Engelhardt; Alastair Hutchison; Sandra Juul; Josef Neu",NA
"209",209,"JOE DI MAGGIO CHILDREN'S HOSPITAL AT MEMORIAL HOSPITAL","3501 Johnson St. Hollywood  FL  33021","3501 Johnson St.","Hollywood"," FL ","33021","NICU Beds:29","Neonatologists:6","Neonatologists names: Mesfin Afework; Richard Auerback; Vicki Johnston; Lester McIntyre; Bruce Schulman; Mona Shehab",NA
"210",210,"MEMORIAL MEDICAL CENTER","3625 University Blvd., S. Jacksonville  FL  32216","3625 University Blvd., S.","Jacksonville"," FL ","32216","NICU Beds:10","Neonatologists:",NA,"Refer to University Medical Center"
"211",211,"ST. VINCENT'S MEDICAL CENTER","P.O. Box 2982 Jacksonville  FL  32203","P.O. Box 2982","Jacksonville"," FL ","32203","NICU Beds:10","Neonatologists:",NA,"Refer to University Medical Center"
"212",212,"UNIVERSITY MEDICAL CENTER ","655 W. Eighth St. Jacksonville  FL  32209","655 W. Eighth St.","Jacksonville"," FL ","32209","NICU Beds:35","Neonatologists:13","Neonatologists names: Carlos Alana; Ronald Carzoli; Thomas Chiu; Rebecca Cooper; Donald Garrison; James Kirk; Lewis Otero; David Rawlings; Martha Reyes; Renu Sharma; Shaista Usmani; Arthur Vaughn; Rita Vileisis",NA
"213",213,"WOLFSON CHILDREN'S HOSPITAL","800 Prudential Dr. Jacksonville  FL  32207","800 Prudential Dr.","Jacksonville"," FL ","32207","NICU Beds:46","Neonatologists:",NA,"Refer to University Medical Center, Jacksonville"
"214",214,"LAKELAND REGIONAL MEDICAL CENTER","1324 Lakeland Hills Blvd.  Lakeland  FL  33804","1324 Lakeland Hills Blvd. ","Lakeland"," FL ","33804","NICU Beds:18","Neonatologists:1","Neonatologists names: Peter Taves",NA
"215",215,"HOLMES REGIONAL MEDICAL CENTER","1350 S. Hickory St. Melbourne  FL  32901","1350 S. Hickory St.","Melbourne"," FL ","32901","NICU Beds:20","Neonatologists:2","Neonatologists names: Lukas Tan; Julio Vallette Jr. ",NA
"216",216,"BAPTIST HOSPITAL OF MIAMI","8900 N. Kendall Dr. Miami  FL  33176","8900 N. Kendall Dr.","Miami"," FL ","33176","NICU Beds:12","Neonatologists:1","Neonatologists names: Joann Berlin","Refer to Miami Children's Hospital"
"217",217,"MERCY HOSPITAL","3663 S. Miami Ave. Miami  FL  33133","3663 S. Miami Ave.","Miami"," FL ","33133","NICU Beds: NA","Neonatologists:",NA,"Refer to Miami Children’s Hospital"
"218",218,"MIAMI CHILDREN'S HOSPITAL ","6125 S.W. 31st St. Miami  FL  33155","6125 S.W. 31st St.","Miami"," FL ","33155","NICU Beds:30","Neonatologists:6","Neonatologists names: Felix Estrada; Ian Jeffries; Andres Kairalla; Bernardo; Bernardo Pimentel; Leon Tejidor; Pablo Valencia",NA
"219",219,"NORTH SHORE MEDICAL CENTER ","1100 N.W. 95th St. Miami  FL  33150","1100 N.W. 95th St.","Miami"," FL ","33150","NICU Beds:13","Neonatologists:2","Neonatologists names: Frederick Bloom; Dina Chung",NA
"220",220,"UNIVERSITY OF MIAMI/JACKSON MEMORIAL HOSPITAL ","P.O. Box 016960, (R-134) Miami  FL  33101","P.O. Box 016960, (R-134)","Miami"," FL ","33101","NICU Beds:126","Neonatologists:12","Neonatologists names: Eduardo Bancalari; Emmalee Bandstra; Charles Bauer; Maria Caveny; Teresa Del Moral; Magaly Diaz-Barbosa; Shahnaz Duara; Tilo Gerhardt; Ronald Goldberg; Ilene Sosenko; Maritza Torres",NA
"221",221,"MT. SINAI MEDICAL CENTER","4300 Alton Rd., 3-Blum Miami Beach  FL  33140","4300 Alton Rd., 3-Blum","Miami Beach"," FL ","33140","NICU Beds:10","Neonatologists:2","Neonatologists names: Jose Adams; Ignacio Zabaleta",NA
"222",222,"PARKWAY REGIONAL MEDICAL CENTER","160 N.W. 170th St. North Miami Beach  FL  33169","160 N.W. 170th St.","North Miami Beach"," FL ","33169","NICU Beds:10","Neonatologists:",NA,"Refer to Miami Children's Hospital"
"223",223,"ORANGE PARK MEDICAL CENTER","2001 Kinsley Ave. Orange Park  FL.  32073","2001 Kinsley Ave.","Orange Park"," FL. ","32073","NICU Beds:4","Neonatologists:",NA,"Refer to University Medical Center, Jacksonville"
"224",224,"ARNOLD PALMER HOSPITAL FOR CHILDREN AND WOMEN","92 W. Miller St. Orlando  Fl.  32806","92 W. Miller St.","Orlando"," Fl. ","32806","NICU Beds:70","Neonatologists:7","Neonatologists names: Gregor Aoexander; David Auerbach; Douglas Hardy; Brian Lipman; Michael McMahan; Paul Palma; Jose Perez",NA
"225",225,"FLORIDA HOSPITAL MEDICAL CENTER","6O1 E. Rollins St, Orlando  FL  32803","6O1 E. Rollins St,","Orlando"," FL ","32803","NICU Beds:22","Neanatologists:2","Neonatologists names: Eduardo Lugo; Linda Slater-Myer",NA
"226",226,"AMI PALM BEACH GARDENS MEDICAL CENTER","3360 Burns Rd. Palm Beach Gardens  FL  33410","3360 Burns Rd.","Palm Beach Gardens"," FL ","33410","NICU Beds:5","Neonatologists:",NA,"Refer to Good Samaritan Medical Center, W. Palm Beach"
"227",227,"SACRED HEART HOSPITAL OF PENSACOLA","5151 W. Ninth Ave, Pensacola  FL  32504","5151 W. Ninth Ave,","Pensacola"," FL ","32504","NICU Beds:42","Neonatologists:5","Neonatologists names: Alpin Charles; Kenneth Carter; Cynthia McEvoy; Jon Nagel; Stephen Sims",NA
"228",228,"PLANTATION GENERAL HOSPITAL ","401 N.W. 42nd Ave. Plantation  FL  33317","401 N.W. 42nd Ave.","Plantation"," FL ","33317","NICU Beds:31","Neonatologists:5","Neonatologists names: Maria Antigua; Ezequiel Cartaya; Barry Chandler; Amed Soliz; Mitchell Stern",NA
"229",229,"SARASOTA MEMORIAL HOSPITAL ","1700 S. Tamiami Trait Sarasota  FL  34239","1700 S. Tamiami Trait","Sarasota"," FL ","34239","NICU Beds:15","Neonatologists:2","Neonatologists names: John Gallagher; Carmen Vallaveces",NA
"230",230,"ALL CHILDREN'S HOSPITAL","801 Sixth St. S. St. Petersburg  FL.  33701","801 Sixth St. S.","St. Petersburg"," FL. ","33701","NICU Beds:60","Neonatologists:6","Neonatologists names: Deborah Donlon; Danilo Escoto; Jeane McCarthy; Anthony Napolitano; Roberto Sosa; Linda Zak",NA
"231",231,"TALLAHASSEE MEMORIAL REGIONAL MEDICAL CENTER","Miccosukee Rd. & Magnolia Dr. Tallahassee  FL  32308","Miccosukee Rd. & Magnolia Dr.","Tallahassee"," FL ","32308","NICU Beds:35","Neonatologists:2","Neonatologists names: Gary Cater; Todd Patterson",NA
"232",232,"ST. JOSEPH'S WOMEN'S HOSPITAL","3030 W, Dr. M.L. King Jr. Blvd. Tampa  FL  33607","3030 W, Dr. M.L. King Jr. Blvd.","Tampa"," FL ","33607","NICU Beds:42","Neonatologists:4","Neonatologists names: Dushan Martinasek; Mohan Rao; Richard Sheridan; Kenneth Solomon",NA
"233",233,"TAMPA GENERAL HOSPITAL ","1 Tampa General Cir. Tampa  FL  33606","1 Tampa General Cir.","Tampa"," FL ","33606","NICU Beds:42","Neonatologists:4","Neonatologists names: John Curran; Robert Nelson; Carine Stromquist; Lance Wyble",NA
"234",234,"WOMAN'S CENTER UNIVERSITY COMMUNITY HOSPITAL","3100 E. Fletcher Ave. Tampa  FL  33613","3100 E. Fletcher Ave.","Tampa"," FL ","33613","NICU Beds:10","Neonatologists:2","Neonatologists names: Keith Kanarek; Manuel Ong",NA
"235",235,"G00D SAMARITAN MEDICAL CENTER","P.O, Box 8555 West Palm Beach  FL  33401","P.O, Box 8555","West Palm Beach"," FL ","33401","NICU Beds:15","Neonatologists:3","Neonatologists names: Ashok Joshi; Lerma Te; Gundanna Viralam",NA
"236",236,"ST. MARY'S HOSPITAL ","901 45th St. West Palm Beach  FL  33416","901 45th St.","West Palm Beach"," FL ","33416","NICU Beds:40","Neonatologists:6","Neonatologists names: Luis Arango; Tassier Atrack; Jack Bankston; Enoch Cordoba; David Kanter; Arnold Mackles",NA
"237",237,"REGENCY MEDICAL CENTER ","101 Avenue O, S. E. Winter Haven  FL  33880","101 Avenue O, S. E.","Winter Haven"," FL ","33880","NICU Beds:11","Neonatologists:2","Neonatologists names: Maria King; Lewis Otero",NA
"238",238,"WINTER PARK MEMORIAL HOSPITAL","200 N. Lakemont Ave. Winter Park  FL  32792","200 N. Lakemont Ave.","Winter Park"," FL ","32792","NICU Beds:5","Neonatologists:",NA,"Refer to Arnold Palmer Hospital for Children & Women"
"239",239,"PHOEBE PUTNEY MEMORIAL HOSPITAL","Box 1828 Albany  GA  31703","Box 1828","Albany"," GA ","31703","NICU Beds:22 ","Neonatotogists:2","Neonatologists names: Katherine Blackburn; Donna Cothran",NA
"240",240,"ATHENS REGIONAL MEDICAL CENTER ","1199 Prince Ave. Athens  GA  30613","1199 Prince Ave.","Athens"," GA ","30613","NICU Beds:10","Neonatologists:1","Neonatologists names: Peter Carrillo",NA
"241",241,"ST. MARY'S HOSPITAL ","1230 Baxter St. Athens  GA  30606","1230 Baxter St.","Athens"," GA ","30606","NICU Beds:10","Neonatologists:1","Neonatologists names: Peter Carrillo",NA
"242",242,"CRAWFORD LONG HOSPITAL/EMORY UNIVERSITY","550 Peachtree St. N.E. Atlanta  GA  30365","550 Peachtree St. N.E.","Atlanta"," GA ","30365","NICU Beds:39","Neonatologists:",NA,"Refer to Emory University School of Medicine"
"243",243,"EGLESTON CHILDREN'S HOSPITAL AT EMORY UNIVERSITY","1405 Clifton Rd., N.E. Allanta  GA  30322","1405 Clifton Rd., N.E.","Allanta"," GA ","30322","NICU Beds:10","Neonatologists:",NA,"Refer to Emory University School of Medicine"
"244",244,"EMORY UNIVERSITY SCHOOL OF MEDICINE","2040 Ridgewood Dr. Atlanta  GA  30322","2040 Ridgewood Dr.","Atlanta"," GA ","30322","NICU Beds: NA","Neonatologists: 15","Neonatologists names: Alfred Brann Jr.; Dona Buchter; George Bugg; Reese Clark; Devn Cornish; Ann Critz; Francine Dykes; Gary Freed; Theresa Gauthier; Kathryn Huddleson; Lucky Jain; Wandra Jones; William Sexson; Neal Simon; Barbara Stoll",NA
"245",245,"GEORGIA BAPTIST MEDICAL CENTER","303 Parkway Dr., N.E. Atlanta  GA  30312","303 Parkway Dr., N.E.","Atlanta"," GA ","30312","NICU Beds:15","Neonatologists:2","Neonatologists names: Vildan Erkan; Fuad Fakhreddine",NA
"246",246,"GRADY MEMORIAL HOSPITAL ","80 Buller St., S.W. Allanta  GA  30335","80 Buller St., S.W.","Allanta"," GA ","30335","NICU Bed: 96","Neonatologists:",NA,"Refer to Emory University. School of Medicine"
"247",247,"NORTHSIDE HOSPITAL ","1000 Johnson Ferry Rd, N.E. Atlanta  GA  30342","1000 Johnson Ferry Rd, N.E.","Atlanta"," GA ","30342","NICU Beds:52","Neonatologists:7","Neonatologists names: Saul Adler; James Jose; William Keyes; Kenneth Kupke; Laura Lord; Patrick Spafford; Wendy Troyer",NA
"248",248,"PIEDMONT HOSPITAL","1968 Peachtree Rd., N.W. Atlanta  GA  30309","1968 Peachtree Rd., N.W.","Atlanta"," GA ","30309","NICU Beds:6","Neonatologists:1","Neonatologists names: Leonard Sacks",NA
"249",249,"WEST PACES MEDICAL CENTER ","3200 Howell Mill Rd, N.W. Atlanta  GA  30327","3200 Howell Mill Rd, N.W.","Atlanta"," GA ","30327","NICU Beds:10","Neonatolagists:4","Neonatologists names: Emma Casanova; Madeleine; Brenda Marino; James Metcalf ",NA
"250",250,"MEDICAL COLLEGE OF GEORGIA HOSPITAL","BIW 8078 Augusta  GA  30912","BIW 8078","Augusta"," GA ","30912","NICU Beds:22","Neonatologists:5","Neonatologists names: Jatinder Bhatia; Frederick Boedy; Spencer Brudno; Chantrapa Bunyapen; William Kanto",NA
"251",251,"ST. JOSEPH HOSPITAL","2260 Wrightsbore Rd. Augusta  GA  30910","2260 Wrightsbore Rd.","Augusta"," GA ","30910","NICU Bads:6","Neonatologists:",NA,"Refer to University Hospital, Augusta"
"252",252,"UNIVERSITY HOSPITAL ","1350 Walton Way Augusta  GA  30901","1350 Walton Way","Augusta"," GA ","30901","NICU Beds:25","Neonatologists:4","Neonatologists names: Ezzat Aziz; William Blalock; Vince Brawley; Cecil Sharp",NA
"253",253,"COBB HOSPITAL AND MEDICAL CENTER","3950 Austell Rd. Austell  GA  30001","3950 Austell Rd.","Austell"," GA ","30001","NICU Beds:8","Neonatologists:",NA,"Refer to Kennestone Hospital, Marietta Georgia"
"254",254,"THE MEDICAL CENTER","Medical Center Box 951 Columbus  GA  31994","Medical Center Box 951","Columbus"," GA ","31994","NICU Beds:24","Neonatologists:2","Neonatologists names: Tommy Leonard; Louis Levy",NA
"255",255,"DEKALB MEDICAL CENTER ","2701 N. Decatur Rd. Decatur  GA  30033","2701 N. Decatur Rd.","Decatur"," GA ","30033","NiCU Beds:14","Neonatologists:2","Neonatologists names: Abdul Ahmed; Michael Armand",NA
"256",256,"HUTCHESON MEDICAL CENTER ","100 Gross Crescent Circle Fort Oglethorpe  GA  30742","100 Gross Crescent Circle","Fort Oglethorpe"," GA ","30742","NICU Beds:6","Neonatologists:3","Neonatologists names: Gary Bell; Woods Blake; William Catteron  ",NA
"257",257,"GWINNETT HOSPITAL SYSTEM ","700 Medical Center Blvd. Lawrenceville  GA  30245","700 Medical Center Blvd.","Lawrenceville"," GA ","30245","NICU Beds:18","Neonatologists:1","Neonatologists names: Leslie Leigh",NA
"258",258,"THE CHILDREN'S HOSPITAL OF MCCG","777 Hemlock St. Macon  GA  31208","777 Hemlock St.","Macon"," GA ","31208","NICU Beds:36","Neonatologists:3","Neonatologists names: Darrell Conner; Chen-Kung Ho; Atul Khurana",NA
"259",259,"KENNESTONE HOSPITAL","677 Church St. Marietta  GA  30060","677 Church St.","Marietta"," GA ","30060","NICU Beds:16","Neonatologists:4","Neonatologists names: Emma Casanova; Madeleine Del Portillo; Brenda Marino; Michael Metcalf",NA
"260",260,"SOUTHERN REGIONAL MEDICAL CENTER","11 Upper Riverdale Rd. S.W. Riverdale  GA  30274","11 Upper Riverdale Rd. S.W.","Riverdale"," GA ","30274","NICU Beds:8","Neonatologists:3","Neonatologists names: Marixie Gilrane; Eduardo Montes; Francisco Velez",NA
"261",261,"NORTH FULTON REGIONAL HOSPITAL","3000 Hospital Blvd. Roswell  GA  30076","3000 Hospital Blvd.","Roswell"," GA ","30076","NICU Beds:8","Neonatologists:3","Neonatologists names: Pratibha Kabrawala; Al Rabbatt; Leonard Sacks ",NA
"262",262,"CANDLER HOSPITAL","P.O. Box 9787 Savannah  GA  31412","P.O. Box 9787","Savannah"," GA ","31412","NICU Beds:8","Neonatologists:",NA,"Refer to Memorial Medical Center Children's Hospital"
"263",263,"MEMORIAL MEDICAL CENTER CHILDREN'S HOSPITAL","4750 Waters Ave. Savannah  GA  31404","4750 Waters Ave.","Savannah"," GA ","31404","NICU Beds:44","Neonatologists:5","Neonatologists names: Tung Giep; Scott Johnson; Linda Sacks; Nancy Shull; Roberta Smith",NA
"264",264,"ST. JOSEPH'S HOSPITAL","11705 Mercy Blvd. Savannah  GA  31419","11705 Mercy Blvd.","Savannah"," GA ","31419","NICU Beds:4","Neonatologists:",NA,"Refer to Memorial Medical Center Children’s Hospital"
"265",265,"SOUTH GEORGIA MEDICAL CENTER","P.O. Box 1727 Valdosta  GA  31603","P.O. Box 1727","Valdosta"," GA ","31603","NICU Beds:6","Neonatologists: 1","Neonatologists names: Thomas Anderson",NA
"266",266,"KAISER PERMANENTE MEDICAL CENTER","3288 Moanalua Rd. Honolulu  HI  96819","3288 Moanalua Rd.","Honolulu"," HI ","96819","NICU Beds: 12","Neonatologists:3","Neonatologists names: Gardner Bemis; Kenneth Herrmann; Kathleen Poon",NA
"267",267,"KAPIOLANI MEDICAL CENTER ","1319 Punahou St. Honolulu  HI  96826","1319 Punahou St.","Honolulu"," HI ","96826","NICU Beds:64","Neonatologists:11","Neonatologists names: Kenneth Ash; Venkataraman Balaraman; David Easa; Carol Hirai; Lynn Iwamoto; Sherry Loo; Daniel Murai; Kenneth Nakamura; Mary Patrinos; Sneha Soood; Larry Tinsley",NA
"268",268,"QUEENS MEDICAL CENTER ","1301 Punchbowl St. Honolulu  HI  96813","1301 Punchbowl St.","Honolulu"," HI ","96813","NICU Beds: 10","Neonatologists:1","Neonatologists names: Larry Tinsley",NA
"269",269,"TRIPLER ARMY MEDICAL CENTER ","1 Jarrett White Rd. Honolulu  HI  96859","1 Jarrett White Rd.","Honolulu"," HI ","96859","NICU Beds:18","Neonatologists:2","Neonatologists names: Jeffrey Paul; Steven Van Scoy",NA
"270",270,"ST. LUKE'S REGIONAL MEDICAL CENTER","190 E. Bannock St. Boise  ID  83712","190 E. Bannock St.","Boise"," ID ","83712","NICU Beds:25","Neonatologists:3","Neonatologists names: Stewart Lawrence; Steven Mayfield; Matthew Sell",NA
"271",271,"NORTHWEST COMMUNITY HOSPITAL ","800 W. Central Rd. Arlington Heights  IL  60005","800 W. Central Rd.","Arlington Heights"," IL ","60005","NICU Beds:10","Neonatologists:3","Neonatologists names: Joel Fisher; Medhat Philobos; Samir Wassef",NA
"272",272,"ST. ELIZABETH'S HOSPITAL ","211 3rd St. Belleville  IL  62222","211 3rd St.","Belleville"," IL ","62222","NICU Beds:15","Neonatologists:1","Neonatologists names: Salil Gupta",NA
"273",273,"MACNEAL HOSPITAL ","3249 S. Oak Park Ave. Berwyn  IL  60402","3249 S. Oak Park Ave.","Berwyn"," IL ","60402","NICU Beds:8","Neonatologists:3","Neonatologists names: Hany Elsayed; Nabil Fatayerji; Carlos Torres",NA
"274",274,"CHILDREN'S MEMORIAL HOSPITAL","2300 Children's Plaza Chicago  IL  60614","2300 Children's Plaza","Chicago"," IL ","60614","NICU Beds:24","Neonatologists:3","Neonatologists names: James Collins Jr.; Edward Ogata; Rebecca Simmons",NA
"275",275,"COLUMBUS HOSPITAL ","2520 N. Lakeview Ave. Chicago  IL  60614","2520 N. Lakeview Ave.","Chicago"," IL ","60614","NICU Beds:15","Neonatologists:3","Neonatologists names: Daksha Patel; Krishnan Thakler; Armiinia Turcios",NA
"276",276,"COOK COUNTY HOSPITAL ","700 S. Wood Chicago  IL  60612","700 S. Wood","Chicago"," IL ","60612","NICU Beds:65","Neonatologists:9","Neonatologists names: Richard David; Meddha Kamat; Dilcia; Rosita Pildes; Suma Pyati; Alok Rastogi; Gopal Srinivasan; Angela Wilks; Shou-Yien Wu",NA
"277",277,"EHS TRINITY HOSPITAL","2320 E. 93rd St. Chicago  IL  60617","2320 E. 93rd St.","Chicago"," IL ","60617","NICU Beds:8","Neonatologists:",NA,"Refer to Wyler Children’s Hospital"
"278",278,"EHS-RAVENSWOOD HOSPITAL MEDICAL CENTER","4550 N. Winchesler Chicago  IL  60640","4550 N. Winchesler","Chicago"," IL ","60640","NICU Beds:10","Neonatologists:6","Neonatologists names: Udochukwu Asonye; Margaret Go; Leonardo Malalis; Hemendra Patel; Jospeh Torre; Jospeh Villalona",NA
"279",279,"ILLINOIS MASONIC MEDICAL CENTER","836 W. Wallington Ave. Chicago  IL  60657","836 W. Wallington Ave.","Chicago"," IL ","60657","NICU Beds:20","Neonatologists:3","Neonatologists names: Sikander Adein; Otto Aldana; Vivek Ghai",NA
"280",280,"MERCY HOSPITAL & MEDICAL CENTER","Stevenson Expy. at King Dr. Chicago  IL  60616","Stevenson Expy. at King Dr.","Chicago"," IL ","60616","NICU Beds:14","Neonatologists:2","Neonatologists names: Jagjit Teji; Rohitkumar Vasa",NA
"281",281,"MICHAEL REESE HOSPITAL ","2929 S. Ellis Ave. Chicago  IL  60616","2929 S. Ellis Ave.","Chicago"," IL ","60616","NICU Beds:32","Neonatologists:2","Neonatologists names: Minyuen Enger; John Paton",NA
"282",282,"MT. SINAI HOSPITAL OF CHICAGO ","California at 15th Ave. Chicago  IL  60608","California at 15th Ave.","Chicago"," IL ","60608","NICU Beds:35","Neonatologists:6","Neonatologists names: Susan Aduana; Marietta Luayon; Antranik Poladian; Josellito Reyes; Jose Roitman; Goapl Shrinivasan",NA
"283",283,"NORTHWESTERN MEMORIAL HOSPITAL","333 E. Superior St. Chicago  IL  60611","333 E. Superior St.","Chicago"," IL ","60611","NICU Beds:46","Neonatologists:7","Neonatologists names: Cheryl Davis; Ruth Deddish; Steven Dekowski; Robert Jansen; Dietra Millard; Edward Ogata; Stephen Wall ",NA
"284",284,"NORWEGIAN-AMERICAN HOSPITAL","1044 N. Francisco Ave. Chicago  IL  60622","1044 N. Francisco Ave.","Chicago"," IL ","60622","NICU Beds:7","Neonatologists:4","Neonatologists names: Margaritte Angelapolous; Maria Gomez; Hemendra Patel; Jospeh Villalona",NA
"285",285,"RUSH-PRESBYTERIAN-ST, LUKE'S MEDICAL CENTER","1653 W. Congress Pkwy. Chicago  IL  60612","1653 W. Congress Pkwy.","Chicago"," IL ","60612","NICU Beds:45","Neonatologists:8","Neonatologists names: Harold Bigger; Terese Jennings; Robert Kimura; Werner Meier; Jean Silvestri; Stefanie Spanier-Mingolelli; Michael Uhing; Ushanalini Vasa",NA
"286",286,"ST. JOSEPH HOSPITAL ","2900 N. Lake Shore Dr. Chicago  IL  60657","2900 N. Lake Shore Dr.","Chicago"," IL ","60657","NICU Beds:6","Neonatologists:2","Neonatologists names: Khurshid Bidiwala; Ramakrishna Velamati ",NA
"287",287,"UNIVERSITY OF ILLINOIS AT CHICAGO","840 S. Wood SI, M/C 856 Chicago  IL  60612","840 S. Wood SI, M/C 856","Chicago"," IL ","60612","NICU Beds:38","Neonatologists:4","Neonatologists names: Rama Bhat; Kristine McCulloch; Tonse Raju; Dharmapuri Vidyasagar",NA
"288",288,"WYLER CHILDREN'S HOSPITAL ","5841 S. Maryland Ave. Chicago  IL  60637","5841 S. Maryland Ave.","Chicago"," IL ","60637","NICU Beds:45","Neonatologists:10","Neonatologists names: Robert Covert; Lawrence Gartner; Hui-Lung Hsish; Nancy Lass; Kwang-Sun Lee; Jeremey Marks; William Meadow; Michael Screiberr; Jaideep Singh; Diana Woo",NA
"289",289,"GOOD SAMARITAN HOSPITAL","3815 S. Highland Ave. Downers Grove  IL  60515","3815 S. Highland Ave.","Downers Grove"," IL ","60515","NICU Beds:12","Neonatologists:",NA,"Refer to Hinsdale Hospital, Hinsdale"
"290",290,"SHERMAN HOSPITAL ","934 Center St.  Elgin  IL  60120","934 Center St. ","Elgin"," IL ","60120","NICU Beds:12","Neonatologists:2","Neonatologists names: Geeti Ghosh; Ashok Mehta",NA
